iter	RMSE
0	12.64752335
1	12.29123488
2	12.00057584
3	11.71677035
4	11.41407543
5	11.1124738
6	10.85179868
7	10.58506259
8	10.31790534
9	10.06503728
10	9.797439201
11	9.544273855
12	9.313315941
13	9.085077853
14	8.84959481
15	8.653777905
16	8.451197562
17	8.264264941
18	8.052818548
19	7.853529578
20	7.651875049
21	7.463741481
22	7.276494616
23	7.084960655
24	6.932475906
25	6.75348776
26	6.585194169
27	6.418519599
28	6.263908328
29	6.098949396
30	5.941789091
31	5.826985144
32	5.684178049
33	5.535374505
34	5.400270145
35	5.259230731
36	5.133139346
37	4.994671811
38	4.871424235
39	4.754629297
40	4.63893701
41	4.537768447
42	4.41839649
43	4.316069972
44	4.205260979
45	4.096928901
46	4.008776506
47	3.914900384
48	3.821954336
49	3.729372465
50	3.637571478
51	3.553542145
52	3.481897261
53	3.402544978
54	3.324056214
55	3.239371172
56	3.156319628
57	3.088725898
58	3.02181883
59	2.9531147
60	2.887051805
61	2.824098084
62	2.767461095
63	2.716347239
64	2.654212875
65	2.594204768
66	2.541664246
67	2.48968065
68	2.44618582
69	2.393177438
70	2.346903639
71	2.28879853
72	2.244592575
73	2.206574498
74	2.163757183
75	2.122825035
76	2.077430741
77	2.041268779
78	1.994679174
79	1.955401066
80	1.917250248
81	1.880798544
82	1.849160276
83	1.819817345
84	1.781161105
85	1.743953645
86	1.709773073
87	1.682415314
88	1.652870044
89	1.623207492
90	1.591624245
91	1.562826943
92	1.542149516
93	1.517998759
94	1.493711219
95	1.468184581
96	1.44726134
97	1.423589922
98	1.396911651
99	1.373324652
100	1.352652209
101	1.332877589
102	1.308758209
103	1.289585332
104	1.266377039
105	1.248116681
106	1.228234246
107	1.207040718
108	1.190287009
109	1.171124504
110	1.154694509
111	1.137773116
112	1.122848793
113	1.107239319
114	1.092104193
115	1.078524601
116	1.06578297
117	1.05444845
118	1.039003537
119	1.026053902
120	1.012049428
121	0.9994391363
122	0.9862134144
123	0.9759460802
124	0.9622080957
125	0.9498939767
126	0.936805052
127	0.9261233229
128	0.9159179184
129	0.9039333671
130	0.894386185
131	0.8878509016
132	0.8771695803
133	0.869854716
134	0.8596698498
135	0.8481903608
136	0.8389611963
137	0.8303804325
138	0.8234098159
139	0.8157353839
140	0.8055018039
141	0.7966893983
142	0.7883645053
143	0.7814311092
144	0.7729334015
145	0.7670292144
146	0.7600773081
147	0.7519586572
148	0.7455279236
149	0.7375822431
150	0.7314356193
151	0.7251094713
152	0.7180496635
153	0.7111908192
154	0.7053833429
155	0.6982938178
156	0.6929192156
157	0.6875013447
158	0.6815904099
159	0.6742999545
160	0.6685654862
161	0.6654435343
162	0.6610576174
163	0.6559796638
164	0.6509141222
165	0.6453824542
166	0.639562
167	0.6335673619
168	0.6283440783
169	0.6225329561
170	0.6181673032
171	0.6134063033
172	0.6088391064
173	0.6045324815
174	0.6010184177
175	0.5968688743
176	0.5922741478
177	0.5878691075
178	0.58309485
179	0.5816538073
180	0.579391472
181	0.5764909391
182	0.5733978756
183	0.5691180266
184	0.5668410829
185	0.5622681607
186	0.5599323062
187	0.5566392031
188	0.5526047742
189	0.5484543763
190	0.5457686309
191	0.5410156215
192	0.5380562572
193	0.5367767188
194	0.5329904396
195	0.5318477694
196	0.5282088343
197	0.5263592505
198	0.5247122134
199	0.5220143983
200	0.5177684945
201	0.5158729196
202	0.5126448951
203	0.511542381
204	0.5104044874
205	0.5093335321
206	0.5074108556
207	0.5062941789
208	0.5050971398
209	0.5029817204
210	0.5013207534
211	0.498721898
212	0.4978467781
213	0.4968194919
214	0.4958452574
215	0.4950107882
216	0.4914418081
217	0.4900221271
218	0.4869717033
219	0.4860843093
220	0.4851640723
221	0.4841997438
222	0.4834258586
223	0.4805591955
224	0.4792703792
225	0.4784899516
226	0.4777367239
227	0.4770234288
228	0.4730887966
229	0.4723302996
230	0.4715714548
231	0.4708574199
232	0.4701178228
233	0.4694159283
234	0.4666762012
235	0.4659399317
236	0.4652017063
237	0.4646088251
238	0.4639066824
239	0.4632767138
240	0.4622061646
241	0.45955517
242	0.4587830307
243	0.4582039223
244	0.4555828369
245	0.4549521598
246	0.4543868447
247	0.45383041
248	0.4532836328
249	0.4527372824
250	0.4522090688
251	0.4496519898
252	0.4489975536
253	0.4478649154
254	0.4472828678
255	0.4437374022
