iter	Passed	Remaining
0	0	264
1	0	269
2	0	263
3	1	259
4	1	261
5	1	257
6	1	253
7	2	253
8	2	251
9	2	249
10	2	250
11	2	243
12	3	243
13	3	241
14	3	241
15	3	240
16	4	239
17	4	238
18	4	238
19	4	238
20	5	237
21	5	243
22	5	247
23	6	249
24	6	250
25	6	245
26	6	251
27	7	250
28	7	249
29	7	249
30	7	248
31	8	252
32	9	271
33	9	279
34	10	286
35	10	292
36	11	298
37	12	303
38	12	308
39	12	310
40	13	310
41	13	310
42	13	311
43	14	311
44	14	311
45	15	312
46	15	312
47	15	314
48	16	315
49	16	316
50	17	316
51	17	315
52	17	314
53	17	315
54	18	316
55	18	316
56	19	316
57	19	317
58	19	318
59	20	320
60	20	321
61	21	320
62	21	320
63	21	319
64	22	319
65	22	320
66	22	320
67	23	320
68	23	319
69	24	319
70	24	318
71	24	319
72	25	319
73	25	319
74	25	319
75	26	319
76	27	329
77	28	331
78	28	333
79	29	343
80	30	344
81	30	344
82	31	345
83	31	346
84	32	346
85	32	346
86	33	346
87	33	346
88	33	345
89	34	345
90	34	345
91	35	345
92	35	345
93	35	346
94	36	344
95	36	344
96	36	344
97	37	344
98	38	346
99	38	346
100	38	346
101	39	346
102	40	353
103	41	353
104	41	353
105	41	352
106	42	352
107	42	351
108	42	351
109	43	350
110	43	350
111	44	349
112	44	349
113	44	348
114	45	348
115	45	348
116	46	347
117	46	346
118	46	345
119	47	345
120	47	344
121	47	343
122	48	342
123	48	342
124	48	341
125	49	340
126	49	340
127	49	339
128	50	338
129	50	337
130	50	337
131	51	336
132	51	335
133	51	335
134	52	334
135	52	334
136	52	333
137	53	333
138	53	332
139	54	331
140	54	331
141	54	331
142	55	330
143	55	329
144	55	329
145	56	328
146	56	328
147	56	327
148	57	326
149	57	326
150	58	326
151	58	325
152	58	325
153	59	324
154	59	324
155	59	323
156	60	323
157	60	322
158	60	321
159	61	321
160	61	320
161	61	320
162	62	319
163	62	319
164	62	318
165	63	317
166	63	317
167	63	316
168	64	316
169	64	315
170	64	314
171	65	314
172	65	313
173	66	313
174	66	312
175	66	312
176	67	311
177	67	311
178	67	310
179	67	309
180	68	308
181	68	307
182	68	307
183	69	306
184	69	305
185	69	305
186	70	304
187	70	304
188	70	303
189	71	303
190	71	302
191	71	301
192	71	300
193	72	299
194	72	299
195	72	298
196	73	297
197	73	297
198	73	296
199	74	296
200	74	295
201	74	295
202	75	295
203	75	295
204	75	294
205	76	294
206	76	293
207	76	292
208	77	292
209	77	292
210	78	291
211	78	291
212	78	290
213	78	290
214	79	291
215	80	291
216	80	290
217	80	289
218	81	289
219	81	288
220	81	288
221	82	287
222	82	287
223	82	286
224	83	286
225	83	285
226	83	285
227	84	284
228	84	284
229	84	283
